ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,direction,symbols,interesting
GO:0000302,response to reactive oxygen species,50/2924,148/15562,9.785092492927958e-6,3.930475952559302e-4,3.1402936834146053e-4,50,bp,treatment-effect-on-ko,NA,Gstp1,FALSE
GO:0000303,response to superoxide,12/2924,24/15562,5.366701066774084e-4,0.008539441517001804,0.006822673533536803,12,bp,treatment-effect-on-ko,down,Sod2/Sod1/Park7/Gch1,FALSE
GO:0000303,response to superoxide,12/2924,24/15562,5.366701066774084e-4,0.008539441517001804,0.006822673533536803,12,bp,treatment-effect-on-ko,up,Cd36/Nqo1/Fbln5/Tnf/Nos3/Apoa4/Ucp2/Sod3,FALSE
GO:0000305,response to oxygen radical,13/2924,25/15562,1.900744829340856e-4,0.0037721896395732962,0.0030138292259696284,13,bp,treatment-effect-on-ko,down,Sod2/Sod1/Park7/Gch1/Txnrd2,FALSE
GO:0000305,response to oxygen radical,13/2924,25/15562,1.900744829340856e-4,0.0037721896395732962,0.0030138292259696284,13,bp,treatment-effect-on-ko,up,Cd36/Nqo1/Fbln5/Tnf/Nos3/Apoa4/Ucp2/Sod3,FALSE
GO:0000323,lytic vacuole,99/2974,405/15746,0.002954930640634219,0.025870104947275915,0.021303374730686456,99,cc,treatment-effect-on-ko,down,Apoe/Mmd/Ctns/Lamp2/Ctsl/Arsa/Hrg/Sod1/Sult1c2/Got1/Prdx6/Slc2a8/Cat/Lamtor2/Dnase2b/Aldob/Tmem59/Tpp1/Snx14/Acpp/Gns/Uvrag/Rnf13/Hgsnat/Rilp/Daglb/Slc17a5/Lmbrd1/Arrdc3/Ass1,FALSE
GO:0000323,lytic vacuole,99/2974,405/15746,0.002954930640634219,0.025870104947275915,0.021303374730686456,99,cc,treatment-effect-on-ko,up,Col6a1/Akr1b3/Epdr1/Hck/Psap/Kit/Ctsd/Kcnq1/Galns/Cd34/Cd68/Stx7/Dram1/Srgn/Slc29a3/Ace/Lgmn/Hexb/Ctsb/Igf2r/Cd74/Pdgfrb/Anxa1/Slc15a3/Hexa/Cd63/Adam8/Gusb/Slc11a1/Itm2c/Pld1/Ctsk/Laptm5/Ppt1/Gnb1/Tmem165/Myo7a/Btk/Atp11a/Asah1/Tlr3/Mt1/Pla2g15/Rab27a/Anxa2/Myo5a/Mfsd12/Hpse/March1/H2-Aa/H2-DMa/Ctss/Milr1/Arsb/Gimap5/Tlr7/Cxcr4/Tpcn2/Mmp13/Gja1/Rab7b/Rab39/Slc44a2/Calcrl/H2-Eb1/Prcp/Cd300ld3/H2-DMb1/Slc48a1,FALSE
GO:0000775,"chromosome, centromeric region",56/2974,166/15746,3.6646219193629325e-6,1.1502841024666983e-4,9.472297592739276e-5,56,cc,treatment-effect-on-ko,down,Ppp2r5a/Uvrag/Wdr81,FALSE
GO:0000775,"chromosome, centromeric region",56/2974,166/15746,3.6646219193629325e-6,1.1502841024666983e-4,9.472297592739276e-5,56,cc,treatment-effect-on-ko,up,Spag5/Rec8/Dnmt1/Spc25/Dynll1/Ikzf1/Nudcd2/Dnmt3a/Aurkb/Cenpp/Ska3/Esco2/Nde1/Mis18a/Cenpq/Sgol1/Ndc80/Incenp/Sgol2a/Cenpf/Nek2/Kif18a/Casc5/Knstrn/Bub1/Aurka/Dsn1/Pmf1/Kntc1/Lrwd1/Mad2l1/Plk1/Mki67/Cenpi/Cenpu/Cenpn/Zwilch/Ska1/Cenpt/Ncapd2/Suv39h1/Ccnb1/Cenph/Cenpe/Mis18bp1/Sept6/Ercc6l/Nsl1/Cenpm/Oip5/Apitd1/Spc24/Cenpw,FALSE
GO:0000776,kinetochore,41/2974,114/15746,1.2640959524893591e-5,3.2464282416204e-4,2.6733512488052476e-4,41,cc,treatment-effect-on-ko,down,Wdr81,FALSE
GO:0000776,kinetochore,41/2974,114/15746,1.2640959524893591e-5,3.2464282416204e-4,2.6733512488052476e-4,41,cc,treatment-effect-on-ko,up,Spag5/Rec8/Spc25/Dynll1/Nudcd2/Aurkb/Ska3/Nde1/Sgol1/Ndc80/Incenp/Sgol2a/Cenpf/Nek2/Kif18a/Casc5/Knstrn/Bub1/Dsn1/Pmf1/Kntc1/Mad2l1/Plk1/Cenpi/Cenpu/Cenpn/Zwilch/Ska1/Cenpt/Ccnb1/Cenph/Cenpe/Mis18bp1/Sept6/Ercc6l/Nsl1/Cenpm/Apitd1/Spc24/Cenpw,FALSE
GO:0000777,condensed chromosome kinetochore,14/2974,26/15746,6.91820920881165e-5,0.0013029294009928606,0.0010729292878227192,14,cc,treatment-effect-on-ko,up,Rec8/Spc25/Ska3/Ndc80/Cenpf/Bub1/Dsn1/Pmf1/Plk1/Ska1/Ccnb1/Cenpe/Mis18bp1/Nsl1,FALSE
GO:0000779,"condensed chromosome, centromeric region",19/2974,39/15746,2.3301465364353917e-5,5.33061647917749e-4,4.389627356863439e-4,19,cc,treatment-effect-on-ko,up,Rec8/Spc25/Aurkb/Ska3/Sgol1/Ndc80/Sgol2a/Cenpf/Bub1/Aurka/Dsn1/Pmf1/Plk1/Ska1/Ncapd2/Ccnb1/Cenpe/Mis18bp1/Nsl1,FALSE
GO:0000780,"condensed nuclear chromosome, centromeric region",11/2974,19/15746,1.799683771459229e-4,0.0028245036968735124,0.002325907096447308,11,cc,treatment-effect-on-ko,up,Rec8/Aurkb/Sgol1/Ndc80/Sgol2a/Bub1/Aurka/Plk1/Ccnb1/Cenpe/Mis18bp1,FALSE
GO:0000793,condensed chromosome,36/2974,126/15746,0.005251167253219251,0.04299868837780981,0.03540832838936551,36,cc,treatment-effect-on-ko,down,Lrpprc/Ndnl2,FALSE
GO:0000793,condensed chromosome,36/2974,126/15746,0.005251167253219251,0.04299868837780981,0.03540832838936551,36,cc,treatment-effect-on-ko,up,Rec8/Spc25/Brca1/Aurkb/Top2a/Ska3/Sgol1/Ndc80/Incenp/Cdca5/Add3/Sgol2a/Cenpf/Nek2/Rad51/Bub1/Aurka/Dsn1/Pmf1/Smc2/Rcc1/Plk1/Mki67/Topbp1/Fancd2/Smc4/Ncaph/Ska1/Ncapd2/Ccnb1/Cenpe/Mis18bp1/Hmgb2/Nsl1,FALSE
GO:0000819,sister chromatid segregation,37/2924,133/15562,0.006898807771532079,0.05337274856835527,0.04264269956582394,37,bp,treatment-effect-on-ko,down,Phb2/Top2b/Pttg1/Psmg2/Dis3l2,FALSE
GO:0000819,sister chromatid segregation,37/2924,133/15562,0.006898807771532079,0.05337274856835527,0.04264269956582394,37,bp,treatment-effect-on-ko,up,Axin2/Spag5/Cdc6/Top2a/Ndc80/Cep192/Cdca5/Chmp6/Sgol2a/Nek2/Kif18a/Nusap1/Knstrn/Bub1/Smc2/Stil/Cit/Mad2l1/Anapc15/Kif22/Plk1/Smc4/Ncaph/Ncapd2/Ccnb1/Kif14/Cenpe/Gsg2/Gen1/Kif18b/Espl1/Psrc1,FALSE
GO:0000922,spindle pole,36/2974,87/15746,9.961441904971284e-7,5.6282146763087754e-5,4.6346919178919034e-5,36,cc,treatment-effect-on-ko,down,Sbds/Topors/Klhl21,FALSE
GO:0000922,spindle pole,36/2974,87/15746,9.961441904971284e-7,5.6282146763087754e-5,4.6346919178919034e-5,36,cc,treatment-effect-on-ko,up,Unc119/Kif11/Cdc6/Aurkb/Nin/Nedd9/Nde1/Poc1a/Sgol1/Kif20b/Cenpf/Nek2/Cdc25b/Tpx2/Aurka/Gpsm2/Kntc1/Mad2l1/Plk1/Ttc28/Tubgcp5/Aspm/Wdr62/Cep85/Dlgap5/Cep250/Ywhaq/Cdk5rap2/Ckap5/Ccnb1/Eml1/Psrc1/Aunip/Kifc1,FALSE
GO:0000940,condensed chromosome outer kinetochore,8/2974,13/15746,8.31206373453464e-4,0.010209382630461025,0.008407167438591101,8,cc,treatment-effect-on-ko,up,Ska3/Ndc80/Cenpf/Bub1/Plk1/Ska1/Ccnb1/Cenpe,FALSE
GO:0001101,response to acid chemical,54/2924,192/15562,9.873260934703469e-4,0.013149507467678014,0.01050593254841684,54,bp,treatment-effect-on-ko,down,Slc1a2/Egfr/Cbs/Rbp4/Scamp3/Lamtor2/Dgat2/Hsd17b2/Yjefn3/Ndufa13/Hlcs/Yap1,FALSE
GO:0001101,response to acid chemical,54/2924,192/15562,9.873260934703469e-4,0.013149507467678014,0.01050593254841684,54,bp,treatment-effect-on-ko,up,Pparg/Pdgfb/Col6a1/Rarg/Col1a1/Akr1b3/Cd36/Klf4/Dnmt1/Aqp1/Mef2c/Tek/Id3/Pdk4/Dnmt3a/Akr1c18/Runx1/Twf2/Igf2r/Tnf/Scd2/Col5a2/Col3a1/Atp2b4/Tlr2/Pdgfc/Add1/Pdgfra/Col1a2/Col4a1/Mmp2/Anxa2/Tie1/Pdk3/Sh3bp4/Acer2/Socs1/Tlr4/P2ry6/Krt8/Mest/Bcl2/Cdkn2d,FALSE
GO:0001525,angiogenesis,132/2924,394/15562,1.455005523848971e-12,1.8263956838114208e-9,1.4592173819443231e-9,132,bp,treatment-effect-on-ko,down,Apoh/Serpinf1/Angptl4/Hspb1/Hrg/Cela1/F3/Adipor2/Fgfr2/Map2k5/Bcas3/Gpx1/Prok1,FALSE
GO:0001525,angiogenesis,132/2924,394/15562,1.455005523848971e-12,1.8263956838114208e-9,1.4592173819443231e-9,132,bp,treatment-effect-on-ko,up,Itgb2/Acvrl1/Itga5/Mapk7/Ramp2/Efnb2/Spi1/Cd36/Klf4/Aqp1/Hdac9/Hmox1/Tek/Elk3/Dll1/Gata2/Cd34/Brca1/Plxdc1/Ptgis/Sparc/Ahr/Dcn/Ptprb/Meis1/Flt4/Rtn4/Gna13/Ace/Itgb3/Plcd3/Vash1/Tnfaip2/Syk/Plau/Hdac7/Adamts1/Runx1/Fmnl3/Thbs2/Tnfrsf12a/C3/Hbegf/Pdgfrb/Adam8/Pdgfa/Sox17/Nrp2/Hc/Egfl7/Dll4/Il1a/Adam15/Ecm1/Hgf/Wasf2/Nos3/Add1/Pdgfra/Pf4/Anxa3/Flt1/Ephb4/Plxnd1/Tnfrsf1a/Mfge8/Adm/Flna/Adgra2/Col4a1/Col4a2/Ednra/Mmp2/Adgrg1/Bmper/Ets1/Robo4/Mcam/Anxa2/Tgfbr2/Tie1/Ptprm/Vav3/Loxl2/Ramp1/Lif/Cxcl10/Tbxa2r/Ccl5/Hpse/Ccl2/Prkx/Serpine1/Htatip2/Thbs1/C3ar1/Mmrn2/Esm1/Ackr3/Rasip1/Cxcr4/Tcf21/Adrb2/Sox18/Ccr2/C5ar1/Lgals3/Cx3cr1/Cysltr1/Prkcb/Rhob/Bak1/Calcrl/Prcp/Kdr/Arhgap22/Gdf2/Ecscr/Nrarp,FALSE
GO:0001558,regulation of cell growth,97/2924,346/15562,1.4725323813349926e-5,5.278005242512307e-4,4.216915896228347e-4,97,bp,treatment-effect-on-ko,down,Apoe/Ulk2/Ndufs3/Igfbp4/Derl2/Igf1/Pttg1/Hrg/Smarca2/Serpine2/F2/Slc25a33/Adipor2/Uri1/Syt3/Ilk/Ryk/Syt1/Yjefn3/Ndufa13/Htra4/Efna5/Gas1/Map2k5/Fbp1,FALSE
GO:0001558,regulation of cell growth,97/2924,346/15562,1.4725323813349926e-5,5.278005242512307e-4,4.216915896228347e-4,97,bp,treatment-effect-on-ko,up,Pparg/Acvrl1/Mmp14/Sema6b/Ifrd1/Ppard/Tgfb1/Ddr1/Cd44/Cyba/Clstn3/Crlf3/Cxcl16/Sema6a/Sgk1/Flt4/Cdkl3/Rtn4/Ntn1/Dab2/Col14a1/Fhl1/Twf2/Tnfrsf12a/Pi16/Epb41l3/Hbegf/Sox17/Sgk3/Sema4c/Abl1/Sema6d/Zmat3/Adam15/Sdcbp/Cdkn2c/Ppt1/Cda/Cd38/Htra3/Cgref1/Rasal1/Limk1/Plxna4/Plxna1/Plxnd1/Arhgap4/L1cam/Plxna3/G6pdx/Slc25a4/Gas2l1/Dbn1/Sema3f/Cdhr2/Adrb1/Sh3bp4/Igfbp7/Ppp1r9b/Kif14/Esm1/Sfn/Tmc8/Gja1/Adam17/Adam10/Bcl2/Erbb2/Psrc1/Gdf2/Plxnc1/Mndal/Cdkn2d,FALSE
GO:0001666,response to hypoxia,48/2924,168/15562,0.0012732595762488808,0.015785274894680568,0.012611805705222832,48,bp,treatment-effect-on-ko,down,Sirt2/Bnip3l/Cbs/Alas2/Slc2a8/Cat/Pink1/Scap/Hif1an/Acaa2/Fabp1/Chchd2,FALSE
GO:0001666,response to hypoxia,48/2924,168/15562,0.0012732595762488808,0.015785274894680568,0.012611805705222832,48,bp,treatment-effect-on-ko,up,Ppard/Aqp1/Hmox1/Cd34/Ptgis/Prmt2/Acot2/Tgfb3/Plau/Adam8/Casp1/Bmp2/Chrna4/Gnb1/Cd38/Fosl2/Flt1/Pak1/Plat/Ednra/Mmp2/Ucp2/Loxl2/Pdk3/Wtip/Tacc3/Suv39h1/Adrb2/Cd24a/Adam17/Prkcb/Slc8a1/Bcl2/Kdr/Sod3/Sox4,FALSE
GO:0001667,ameboidal-type cell migration,88/2924,300/15562,5.354273962350779e-6,2.4664045472443363e-4,1.970558963835714e-4,88,bp,treatment-effect-on-ko,down,Apoh/Serpinf1/Apoe/Hspb1/Sdc4/C1qbp/Pbld2/Hrg/Csnk2b/Epb41l4b/Ilk/Apoa1/Atoh8/Map2k5/Bcas3/Gpx1,FALSE
GO:0001667,ameboidal-type cell migration,88/2924,300/15562,5.354273962350779e-6,2.4664045472443363e-4,1.970558963835714e-4,88,bp,treatment-effect-on-ko,up,Itgb2/Pdgfb/Acvrl1/Timp1/Sema6b/Efnb2/Ppard/Tgfb1/Klf4/Gab2/Coro1c/Aqp1/Hdac9/Kit/Tek/Amotl1/Stc1/Lama5/Sparc/Gipc1/Sema6a/Dcn/Flt4/Itgb3/Cygb/Vash1/Ednrb/Hdac7/Hbegf/Zfand5/Cd63/Adam8/Sox17/Nrp2/Sema4c/Srgap2/Ddr2/Pkn3/Zeb2/Itga4/Sema6d/Dll4/Schip1/Glipr2/Sh3bgrl3/Wasf2/Nos3/Anxa3/Ephb4/Plxnd1/Arhgap4/Adgra2/Arhgef7/Bmper/Ets1/Tgfbr2/Prr5l/Ptprm/Loxl2/Sema3f/Prkx/Serpine1/Thbs1/Mmrn2/Arsb/Cxcr4/Rhob/Slc8a1/Ptp4a3/Prcp/Kdr/Gdf2,FALSE
GO:0001676,long-chain fatty acid metabolic process,31/2924,89/15562,2.447112927242759e-4,0.004550723706550331,0.003635846926207468,31,bp,treatment-effect-on-ko,down,Acsl1/Acsl6/Ephx2/Cyp2d26/Cyp4f14/Cyp2c44/Cyp2e1/Slc27a2/Slc27a5/Pnpla8/Daglb/Cyp2j5/Cyp2j6/Cyp2f2/Cyp2a12/Cyp2d22/Cyp2c67/Cyp2d40/Cyp2d9/Cyp2a22/Cyp2d10/Cyp2d12,FALSE
GO:0001676,long-chain fatty acid metabolic process,31/2924,89/15562,2.447112927242759e-4,0.004550723706550331,0.003635846926207468,31,bp,treatment-effect-on-ko,up,Cd36/Cyp4f18/Acot2/Cyp2c55/Cyp2b10/Myo5a/Cyp2b9/Ptgs1/Cyp2a4,FALSE
GO:0001725,stress fiber,20/2974,61/15746,0.006782910938628753,0.04913262410673392,0.04045946875673292,20,cc,treatment-effect-on-ko,down,Mylk/Nox4/Myh14/Ilk/Klhl2,FALSE
GO:0001725,stress fiber,20/2974,61/15746,0.006782910938628753,0.04913262410673392,0.04045946875673292,20,cc,treatment-effect-on-ko,up,Cnn2/Tek/Pdlim2/Myl12a/Tpm3/Fscn1/Tpm4/Anxa2/Mst1r/Fhl3/Gas2l1/Micall2/Synpo/Sept11/Sept9,FALSE
GO:0001726,ruffle,36/2974,123/15746,0.0034134927294574018,0.028362108707991645,0.0233554765699717,36,cc,treatment-effect-on-ko,down,Eps8l2/Sh2b1/Myo6,FALSE
GO:0001726,ruffle,36/2974,123/15746,0.0034134927294574018,0.028362108707991645,0.0233554765699717,36,cc,treatment-effect-on-ko,up,Itga5/S100a6/Tiam1/Trpv4/Plekho1/Cyth3/Plek/Dbnl/Itgb3/Sh3bp1/Tnfrsf12a/Fgd2/Aif1/Arap3/Fgd1/Abl1/Gsn/Kif18a/Arhgef2/Wasf2/Fgr/Cit/Fscn1/C2cd5/Iqgap1/Pak1/Anxa2/Inpp5j/Myo5a/Ppp1r9b/Ezr/Adam17/Myadm,FALSE
GO:0001726,ruffle,36/2974,123/15746,0.0034134927294574018,0.028362108707991645,0.0233554765699717,36,cc,treatment-effect-on-ko,NA,Myadm,FALSE
GO:0001772,immunological synapse,14/2974,33/15746,0.0015546744590050783,0.015970746715233988,0.013151504514454444,14,cc,treatment-effect-on-ko,down,Zap70,TRUE
GO:0001772,immunological synapse,14/2974,33/15746,0.0015546744590050783,0.015970746715233988,0.013151504514454444,14,cc,treatment-effect-on-ko,up,Stx7/Havcr2/Arhgdia/Prkcq/Rhoh/Coro1a/Itgal/Card11/Icam1/Cd53/Lgals3/Ezr/Scimp,TRUE
GO:0001774,microglial cell activation,10/2924,18/15562,5.37435474880018e-4,0.008539441517001804,0.006822673533536803,10,bp,treatment-effect-on-ko,up,Aif1/Casp1/Tlr2/Tlr3/Tlr4/Tlr8/Tlr7/Tlr1/Tlr6/Cx3cr1,FALSE
GO:0001776,leukocyte homeostasis,28/2924,91/15562,0.003978896574722494,0.035484972827143246,0.028351079454552536,28,bp,treatment-effect-on-ko,down,Dnaja3/Mthfd1/Ceacam1,TRUE
GO:0001776,leukocyte homeostasis,28/2924,91/15562,0.003978896574722494,0.035484972827143246,0.028351079454552536,28,bp,treatment-effect-on-ko,up,Tgfb1/Il7r/Stat5a/Cd44/Mef2c/Ahr/Ripk3/Nckap1l/Pmaip1/Cd74/Anxa1/Fcgr2b/Abl1/Skil/Coro1a/Jak3/Ccnb2/Ccl2/Itpkb/Cd24a/Adam17/Bcl2/Bak1/Fcer1g/Pirb,TRUE
GO:0001786,phosphatidylserine binding,11/2900,25/15510,0.0032016348922586924,0.04786834607206289,0.04212677489814069,11,mf,treatment-effect-on-ko,down,Syt3/Syt1,FALSE
GO:0001786,phosphatidylserine binding,11/2900,25/15510,0.0032016348922586924,0.04786834607206289,0.04212677489814069,11,mf,treatment-effect-on-ko,up,Axl/Rasgrp1/Mfge8/Gas6/Cd300a/Thbs1/Osbpl10/Sdpr/Timd4,FALSE
GO:0001817,regulation of cytokine production,148/2924,483/15562,1.301178571049771e-10,5.444348004367418e-8,4.349817135325156e-8,148,bp,treatment-effect-on-ko,down,Il12rb1/Irf3/Ndrg2/Hspb1/Apoa2/Tusc2/C1qbp/Il1rap/Sod1/Ndfip1/Park7/Prkcz/Apoa1/Atg9a/Polr3g/Crp/Map2k5/B2m/Gstp1/Ceacam1,TRUE
GO:0001817,regulation of cytokine production,148/2924,483/15562,1.301178571049771e-10,5.444348004367418e-8,4.349817135325156e-8,148,bp,treatment-effect-on-ko,up,Pparg/Icosl/Axl/Tgfb1/Il17ra/Cd36/Relb/Klf4/Stat5a/Ly9/Hmox1/Il27ra/Prg4/Tek/Cyba/Trpv4/Dll1/Lpl/Il17rb/H2-M3/Cd34/Mapkapk2/Brca1/Arrb1/Srgn/Vsir/Sptbn1/Flt4/Havcr2/Trib2/Sec14l1/Tgfb3/Syk/Ripk3/Hdac7/Nckap1l/Mefv/Runx1/Clec4n/Tnfrsf21/C3/Tnf/Cd74/Csf1r/Anxa1/Ddit3/Adam8/Casp1/Slc11a1/Inpp5d/Fcgr2b/Prkcq/Abl1/Hc/Rasgrp1/Il1a/Nras/Tlr2/Arhgef2/Nr4a3/Hgf/Fgr/Pf4/Gpnmb/Tnfrsf1a/Iqgap1/Pycard/Trim30a/Sash3/Btk/Gas6/Tlr3/Il15/Jak3/Panx1/Traip/Casp4/Plcg2/Cd300ld/Gpsm3/Ccl5/Hpse/Ccl2/Cd276/Lum/Card11/Inhbb/Spon2/Serpine1/Aim2/Ackr1/Bank1/Socs1/Nod1/Cd84/Trpm4/Tlr4/Thbs1/Tlr8/C3ar1/Scamp5/Irf8/Hilpda/Vsig4/Tlr7/Cd300c2/Tlr1/Cd24a/Ccr2/C5ar1/Cd14/Tlr6/Ezr/Adam17/Rab7b/Mapk11/Hmgb2/Ptafr/Fcer1g/Fcgr3/S1pr3/Gdf2/C5ar2/Heg1/Raet1d/Gbp4/Ulbp1/Lrrc32,TRUE
GO:0001817,regulation of cytokine production,148/2924,483/15562,1.301178571049771e-10,5.444348004367418e-8,4.349817135325156e-8,148,bp,treatment-effect-on-ko,NA,Gstp1,TRUE
GO:0001818,negative regulation of cytokine production,57/2924,178/15562,1.5184084053717043e-5,5.324729499441631e-4,4.254246715871666e-4,57,bp,treatment-effect-on-ko,down,Irf3/Ndrg2/Apoa2/Tusc2/C1qbp/Ndfip1/Apoa1/Atg9a/Map2k5/Gstp1/Ceacam1,FALSE
GO:0001818,negative regulation of cytokine production,57/2924,178/15562,1.5184084053717043e-5,5.324729499441631e-4,4.254246715871666e-4,57,bp,treatment-effect-on-ko,up,Pparg/Axl/Tgfb1/Relb/Klf4/Hmox1/Prg4/Dll1/Cd34/Arrb1/Srgn/Vsir/Havcr2/Trib2/Tgfb3/Hdac7/Nckap1l/Mefv/Tnfrsf21/Tnf/Anxa1/Slc11a1/Inpp5d/Fcgr2b/Tlr2/Hgf/Gpnmb/Tnfrsf1a/Pycard/Trim30a/Btk/Gas6/Jak3/Traip/Cd276/Inhbb/Bank1/Cd84/Tlr4/Thbs1/Vsig4/Cd24a/Ezr/C5ar2/Gbp4/Lrrc32,FALSE
GO:0001818,negative regulation of cytokine production,57/2924,178/15562,1.5184084053717043e-5,5.324729499441631e-4,4.254246715871666e-4,57,bp,treatment-effect-on-ko,NA,Gstp1,FALSE
GO:0001819,positive regulation of cytokine production,101/2924,323/15562,3.716063864218535e-8,4.4424658719622055e-6,3.5493532297084803e-6,101,bp,treatment-effect-on-ko,down,Il12rb1/Irf3/Hspb1/Apoa2/Tusc2/C1qbp/Il1rap/Sod1/Park7/Prkcz/Polr3g/B2m,TRUE
