ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,direction,symbols,interesting
GO:0001937,negative regulation of endothelial cell proliferation,12/2653,31/15562,0.0033903568689985144,0.05713453761636067,0.04978858240548168,12,bp,treatment-effect-on-ko,up,Cav2/Acvrl1/Sparc/Vash1/Dll4/Gja1/Atpif1/Gdf2,FALSE
GO:0001948,glycoprotein binding,35/2634,113/15510,1.7606894044855208e-4,0.006923485109896289,0.006032378978356166,35,mf,treatment-effect-on-ko,down,Apoh/Calr/Egfr/F7/Lipc/Azgp1/Edem2/Os9/B2m/Serpina1d/Serpina1a/Serpina1b/Serpina1e/Psg23/Serpina1c,FALSE
GO:0001948,glycoprotein binding,35/2634,113/15510,1.7606894044855208e-4,0.006923485109896289,0.006032378978356166,35,mf,treatment-effect-on-ko,up,Itgb2/Vwf/Tgfb1/Nid1/Stx1a/Fyn/Ctsb/Tfrc/Igf2r/Ptprc/Vim/Col5a1/Ctsk/Sdcbp/Itgam/Flna/Gpc1/Atp1a3/Gpc6/Erbb2/Lgals1,FALSE
GO:0001948,glycoprotein binding,35/2634,113/15510,1.7606894044855208e-4,0.006923485109896289,0.006032378978356166,35,mf,treatment-effect-on-ko,NA,Itgam,FALSE
GO:0001974,blood vessel remodeling,20/2653,46/15562,2.4071863775107637e-5,0.0018479784651967248,0.0016103784494731928,20,bp,treatment-effect-on-ko,down,Igf1/Hrg/Cbs/Adra1b,FALSE
GO:0001974,blood vessel remodeling,20/2653,46/15562,2.4071863775107637e-5,0.0018479784651967248,0.0016103784494731928,20,bp,treatment-effect-on-ko,up,Acvrl1/Axl/Abr/Ahr/Flt4/Itga4/Dll4/Nos3/Flna/Lif/Tgm2/Erg/Ccr2/Gja1/Bak1/Hoxa3,FALSE
GO:0002102,podosome,9/2691,18/15746,0.0013527442158728688,0.018641475169955388,0.016045387104833515,9,cc,treatment-effect-on-ko,up,Dbnl/Fermt3/Actr3/Tpm3/Vcam1/Fscn1/Tpm4/Sh3pxd2b/Bin2,FALSE
GO:0002237,response to molecule of bacterial origin,58/2653,226/15562,6.422254926245296e-4,0.01954088541583172,0.01702845641869019,58,bp,treatment-effect-on-ko,down,Irf3/Mgst1/Sirt2/Cps1/Adh5/B2m/Gstp1,FALSE
GO:0002237,response to molecule of bacterial origin,58/2653,226/15562,6.422254926245296e-4,0.01954088541583172,0.01702845641869019,58,bp,treatment-effect-on-ko,up,Ppard/Axl/Tgfb1/Cd36/Relt/H2-M3/Mapkapk2/Slpi/Abr/Ptger1/Havcr2/Ace/Cd180/Tnfrsf10b/Cd86/Tnfrsf21/Casp1/Slc11a1/Tnfrsf11a/Fcgr2b/Abl1/Tlr2/Gbp2/Nos3/Cxcl1/Kcnj8/Tnfrsf1a/Adm/Pycard/Rps6ka3/Ednra/Cxcl10/Spon2/Ptger2/Cd84/Prdm1/Tlr4/Dusp10/Irf8/Tlr1/Tlr9/Cd24a/C5ar1/Nlrc3/Cd14/Tlr6/Adam17/Hmgb2/Cnr2/Raet1d/Raet1d,FALSE
GO:0002237,response to molecule of bacterial origin,58/2653,226/15562,6.422254926245296e-4,0.01954088541583172,0.01702845641869019,58,bp,treatment-effect-on-ko,NA,Gstp1,FALSE
GO:0002250,adaptive immune response,80/2653,291/15562,4.757611522169453e-6,6.247495130427783e-4,5.444236342959007e-4,80,bp,treatment-effect-on-ko,down,Il12rb1/C8g/C1qbp/C9/Serping1/Tfeb/C2/Ndfip1/Otub1/Zap70/Masp2/Prkcz/C8b/Mbl1/Crp/C1rl/Susd4/C1ra/B2m/H2-K1,TRUE
GO:0002250,adaptive immune response,80/2653,291/15562,4.757611522169453e-6,6.247495130427783e-4,5.444236342959007e-4,80,bp,treatment-effect-on-ko,up,Icosl/Tgfb1/Relb/Ly9/Cd244/Adgre1/Cd44/Il27ra/Pou2f2/Tnfrsf13b/Fcgr1/H2-M3/Fyn/Stx7/Vsir/Havcr2/Dbnl/Syk/Ripk3/Cd86/Clec4n/Tnfrsf21/C3/Slc11a1/Inpp5d/Tnfrsf11a/Ptprc/Cd55/Fcgr2b/Prkcq/Hc/Nras/Pycard/Hpx/Btk/Il13ra2/Jak3/Rab27a/Icam1/Cd84/Trpm4/Rftn1/Dusp10/Exo1/C3ar1/Clcf1/Lat2/Klhl6/Cd24a/Ccr2/Tlr6/Adam17/Prkcb/Pirb/H2-Ab1/Clec4g/Raet1d/Raet1d/Raet1d/Tnfsf13,TRUE
GO:0002250,adaptive immune response,80/2653,291/15562,4.757611522169453e-6,6.247495130427783e-4,5.444236342959007e-4,80,bp,treatment-effect-on-ko,NA,Clcf1,TRUE
GO:0002274,myeloid leukocyte activation,40/2653,145/15562,9.77321370141311e-4,0.024552482484094994,0.021395697741123598,40,bp,treatment-effect-on-ko,down,Zap70,FALSE
GO:0002274,myeloid leukocyte activation,40/2653,145/15562,9.77321370141311e-4,0.024552482484094994,0.021395697741123598,40,bp,treatment-effect-on-ko,up,Tgfb1/Relb/Gab2/Cd244/Ndrg1/Kit/Abr/Havcr2/Syk/Myo1f/Cplx2/Casp1/Slc11a1/Tlr2/Rhoh/Anxa3/Pycard/Btk/Il13ra2/Tlr3/Plscr1/Tgfbr2/Rac2/Cd300a/Cd84/Tlr4/Batf2/Lat2/Tlr1/Tlr9/Ccr2/Tlr6/Cx3cr1/Adam10/Adgrf5/Pirb/Cnr2/Raet1d/Ulbp1,FALSE
GO:0002443,leukocyte mediated immunity,76/2653,256/15562,3.33932340259108e-7,7.574192626786131e-5,6.600356447896532e-5,76,bp,treatment-effect-on-ko,down,Tusc2/C8g/C1qbp/C9/Serping1/C2/Ndfip1/Zap70/Masp2/Prkcz/C8b/Clec2d/Mbl1/Crp/C1rl/Susd4/C1ra/B2m/H2-K1,TRUE
GO:0002443,leukocyte mediated immunity,76/2653,256/15562,3.33932340259108e-7,7.574192626786131e-5,6.600356447896532e-5,76,bp,treatment-effect-on-ko,up,Icosl/Tgfb1/Stat5a/Gab2/Il27ra/Kit/Pou2f2/Fcgr1/Ncf1/H2-M3/Abr/Stx7/Vsir/Havcr2/Ace/Syk/Ripk3/C3/Myo1f/Cplx2/Slc11a1/Inpp5d/Ptprc/Cd55/Fcgr2b/Hc/Tlr2/Cxcl1/Anxa3/Hpx/Btk/Il13ra2/Tlr3/Jak3/Rab27a/Rac2/Cd300a/Spon2/Icam1/Cd84/Trpm4/Tlr4/Rftn1/Exo1/Clcf1/Lat2/Tlr9/Cd24a/Ccr2/Pirb/H2-Ab1/Clec4g/Raet1d/Raet1d/Raet1d/Ulbp1/Tnfsf13,TRUE
GO:0002443,leukocyte mediated immunity,76/2653,256/15562,3.33932340259108e-7,7.574192626786131e-5,6.600356447896532e-5,76,bp,treatment-effect-on-ko,NA,Clcf1,TRUE
GO:0002444,myeloid leukocyte mediated immunity,22/2653,68/15562,0.0014937411541918156,0.0329812759266246,0.028740776469335774,22,bp,treatment-effect-on-ko,down,Tusc2/Zap70,TRUE
GO:0002444,myeloid leukocyte mediated immunity,22/2653,68/15562,0.0014937411541918156,0.0329812759266246,0.028740776469335774,22,bp,treatment-effect-on-ko,up,Gab2/Kit/Fcgr1/Ncf1/Abr/Ace/Syk/C3/Myo1f/Cplx2/Cxcl1/Anxa3/Btk/Il13ra2/Rac2/Cd300a/Spon2/Cd84/Lat2/Ccr2,TRUE
GO:0002449,lymphocyte mediated immunity,52/2653,194/15562,4.0157781496902946e-4,0.013764306079945927,0.011994588844268881,52,bp,treatment-effect-on-ko,down,C8g/C1qbp/C9/Serping1/C2/Ndfip1/Masp2/Prkcz/C8b/Clec2d/Mbl1/Crp/C1rl/Susd4/C1ra/B2m/H2-K1,TRUE
